Group,ID,elevation,Treatment,ph,H2O-PI (mg/kg),NAHCO3-PT (mg/kg),NAHCO3-PI (mg/kg),NAHCO3-PO (mg/kg),NAOH-PT (mg/kg),NAOH-PI (mg/kg),NAOH-PO (mg/kg),HCL-P (mg/kg),R-P (mg/kg),BWDPI (mg/kg),TP (mg/kg),SiO2 (wt%),Al2O3 (wt%),CaO (wt%),Fe2O3 (wt%),K2O (wt%),MgO (wt%),MnO (wt%),Na2O (wt%),P2O5 (wt%),TiO2 (wt%),Pf,al( g/kg),fe (g/kg),som (g/kg),Gram Negative (nmol/g dry soil),Gram Positive (nmol/g dry soil),bat (nmol/g dry soil),Anaerobe (nmol/g dry soil),Actinomycetes (nmol/g dry soil),AM Fungi (nmol/g dry soil),Eukaryote (nmol/g dry soil),Fungi(nmol/g dry soil),Methanobacter(nmol/g dry soil),Total Biomass(nmol/g dry soil)
B,3,H,W,5.11,3.273028587,96.11932054,11.03930361,85.08001693,160.1688209,16.11884993,144.049971,2.449735813,189.9665552,14.3123322,451.977461,56.53,17.05,0.0346,2.33,2.99,0.366,0.0154,0.25,0.135,0.265,1.962962963,3.502515,2.81828,139.3717895,9.477845333,6.167637333,15.64548267,0.086976,3.604586667,0.381738667,0.310826667,0.794453333,0,27.09800533
B,3,H,W,4.76,2.278690789,80.87280762,8.823529412,72.04927821,146.4785017,13.13387772,133.344624,2.079187539,190.6354515,11.1022202,422.3446391,56.94,16.49,0.0442,2.79,2.56,0.419,0.0149,0.202,0.119,0.345,2.899159664,2.641515,3.15586,105.7521882,12.13783467,8.415936,20.55377067,0.122816,4.689173333,0.498837333,0.266069333,0.925717333,0,35.011584
B,3,H,W,4.89,2.610136721,95.87073609,10.48536006,85.38537603,169.3484569,18.03334934,151.3151076,2.429149798,186.9565217,13.09549678,457.2150012,56.08,16.24,0.0409,2.29,2.81,0.377,0.0163,0.233,0.133,0.27,2.030075188,3.208135,2.47577,131.6324706,10.064192,7.545472,17.609664,0.127104,3.398848,0.456341333,0.32224,0.566122667,0,28.88541867
B,3,H,A,4.79,2.858721171,86.424527,9.812714323,76.61181268,172.2764442,16.20119399,156.0752502,2.336512729,176.2541806,12.67143549,440.1503857,55.54,16.6,0.0351,2.22,2.9,0.352,0.0163,0.249,0.136,0.256,1.882352941,3.496625,2.707985,153.9430588,10.596096,6.410709333,17.00680533,0.087424,3.632021333,0.432832,0.294442667,1.042581333,0,29.49179733
B,3,H,A,4.78,3.065874879,83.4415136,8.388288051,75.05322555,149.7230282,14.01907637,135.7039518,2.233582653,210.7023411,11.45416293,449.1663404,57.3,16.86,0.0394,2.81,2.64,0.436,0.0158,0.221,0.128,0.369,2.8828125,2.565235,2.913145,120.9233882,8.509952,5.488768,13.99872,0.059605333,3.069077333,0.343189333,0.299306667,0.928874667,0,24.91140267
B,3,H,A,4.75,2.983013396,91.47907748,10.44579267,81.03328481,172.8303878,15.60419955,157.2261883,2.408563782,173.2441472,13.42880607,442.9451897,56.09,16.76,0.0361,2.25,2.82,0.387,0.0146,0.227,0.134,0.266,1.985074627,3.184965,2.545405,142.7877647,11.42097067,6.592448,18.01341867,0.134677333,4.084416,0.416789333,0.495786667,0.924224,0,32.56810667
B,1,L,W,4.69,2.030106339,53.11421074,6.093379056,47.02083168,79.13479293,5.475880052,73.65891288,1.33809099,143.1438127,8.123485395,278.7610137,63.4,22.04,0.021,2.93,4,0.357,0.0111,0.133,0.0453,0.254,5.607064018,1.29136,1.649885,27.05264505,5.712938667,3.464362667,9.177301334,0.049877333,1.767530667,0.182421333,0.143488,1.313322667,0,17.478272
B,1,L,W,4.8,3.231597846,54.93716338,5.302031126,49.63513225,75.0197837,4.693611473,70.32617223,1.441021066,119.3979933,8.533628972,254.0275593,63.27,21.9,0.013,2.88,3.94,0.348,0.0109,0.13,0.0417,0.262,6.282973621,1.228185,1.69787,29.28840084,5.153344,2.91424,8.067584,0.044117333,1.536234667,0.156629333,0.325056,1.243776,0,15.32772267
B,1,L,W,4.73,1.988675597,56.59439304,5.93510947,50.65928357,79.05565814,4.714197489,74.34146065,1.389556028,103.0100334,7.923785067,242.0383162,65.19,20.14,0.04,2.53,3.77,0.305,0.0137,0.121,0.054,0.27,5,1.26549,1.52306,39.57287747,3.702592,2.24896,5.951552,0.032298667,0.653589333,0.103765333,0.161706667,0.362368,0,10.00701867
B,1,L,A,4.52,2.195829305,53.69424113,5.222896333,48.4713448,76.52334476,5.146503808,71.37684095,1.163109861,109.3645485,7.418725638,242.9410736,63.51,21.8,0.0227,2.85,3.93,0.347,0.0098,0.135,0.0404,0.251,6.212871287,1.170315,1.567005,30.62985432,5.563434667,3.056469333,8.619904,0.053589333,1.740245333,0.179328,0.171072,1.334549333,0,16.42216533
B,1,L,A,4.56,2.237260047,53.11421074,4.985491955,48.12871879,77.15642311,5.105331778,72.05109133,1.204281891,96.65551839,7.222752002,230.3676942,63.82,21.67,0.0219,2.87,3.9,0.342,0.0107,0.117,0.0383,0.252,6.579634465,1.148845,1.644685,32.19488337,4.960234667,3.199146667,8.159381334,0.036437333,1.548714667,0.160277333,0.233088,0.699093333,0,14.836288
B,1,L,A,4.62,2.402983013,55.26860931,6.291216038,48.97739327,77.63123186,5.105331778,72.52590008,1.245453922,94.64882943,8.694199051,231.1971075,65.28,20.23,0.034,2.51,3.76,0.309,0.0136,0.125,0.0558,0.262,4.695340502,1.28448,1.61897,42.92651116,6.557354667,3.668842667,10.22619733,0.041621333,1.70464,0.190890667,0.300906667,1.309973333,0,19.15509333
